user_id,product_id,recommendation_id,action
13f5223e-f04a-4fa8-9ef2-cf36060f0d6e,80957603-6cec-4f63-8dcd-aba6ded5cbdd,80957603-6cec-4f63-8dcd-aba6ded5cbee,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,1033503b-8faa-4d5c-97c2-50bb19fbb897,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,1033503b-8faa-4d5c-97c2-50bb19fbb897,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,reviewed
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,4cac8d01-b78e-4017-9113-c627ac1866a5,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,4cac8d01-b78e-4017-9113-c627ac1866a5,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,added_to_cart
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,0bd2430a-6613-442a-9d5a-11d64cb095ae,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,1033503b-8faa-4d5c-97c2-50bb19fbb897,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,1033503b-8faa-4d5c-97c2-50bb19fbb897,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,added_to_cart
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,4cac8d01-b78e-4017-9113-c627ac1866a5,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,added_to_cart
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,4698d965-a133-4701-838b-f60e38c66b39,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,0bd2430a-6613-442a-9d5a-11d64cb095ae,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,1033503b-8faa-4d5c-97c2-50bb19fbb897,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,1033503b-8faa-4d5c-97c2-50bb19fbb897,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,1033503b-8faa-4d5c-97c2-50bb19fbb897,e4a7c3f1-2d9b-486e-90c5-1d6f8b7a5e3c,clicked
